class_name;project_name;class_id;class_path;sonar_td_minutes;squore_td_minutes;cast_td_minutes;commits_count;code_churn_avg;contributors_count;contributors_experience;hunks_count;issue_tracker_issues;cbo;wmc;dit;rfc;lcom;total_methods;max_nested_blocks;total_variables;total_refactorings;duplicated_lines;comment_lines;ncloc;high-TD
IJobHandler.java;xxl-job;AW-Z3VGcrInABnR0cIYq;xxl-job-core/src/main/java/com/xxl/job/core/handler/IJobHandler.java;23;15;415.5;25;2;3;51.85;2;15;1;3;1;0;3;3;0;3;11;0;23;13;0
ExecutorRouteBusyover.java;xxl-job;AW-Z3VGarInABnR0cIXp;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteBusyover.java;22;17.5;635.4;10;5;1;100;2.5;0;6;5;2;14;0;1;2;3;7;0;5;35;0
ExecutorRouteFailover.java;xxl-job;AW-Z3VGarInABnR0cIXv;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteFailover.java;22;10;635.4;10;5;1;100;2.5;3;6;5;2;13;0;1;2;3;7;0;5;35;0
GlueFactory.java;xxl-job;AW-Z3VGcrInABnR0cIYo;xxl-job-core/src/main/java/com/xxl/job/core/glue/GlueFactory.java;22;40;889.2;17;5;3;67.38;4;2;5;14;1;13;6;5;4;8;37;0;22;57;0
FramelessApplication.java;xxl-job;AW-Z3VGXrInABnR0cIWd;xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/FramelessApplication.java;20;0;606.3;2;19;1;100;2;0;3;4;1;7;0;1;3;1;1;0;6;24;0
NutzSetup.java;xxl-job;AW-Z3VGXrInABnR0cIWm;xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/config/NutzSetup.java;20;7.5;598.2;4;15;2;57.36;3.5;0;10;4;1;15;0;2;1;3;6;20;9;42;0
RegistryParam.java;xxl-job;AW-Z3VGerInABnR0cIZE;xxl-job-core/src/main/java/com/xxl/job/core/biz/model/RegistryParam.java;20;0;640.2;2;27;2;77.14;3;30;0;9;1;0;4;9;0;4;10;0;3;40;0
ShardingJobHandler.java;xxl-job;AW-Z3VGWrInABnR0cIWM;xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/jobhandler/ShardingJobHandler.java;20;20;789;1;34;1;100;1;2;5;3;2;4;0;1;2;2;0;23;7;20;0
ShardingJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWZ;xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/ShardingJobHandler.java;20;20;789;1;34;1;100;1;2;5;3;2;4;0;1;2;2;0;23;7;20;0
ShardingJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWi;xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/jobhandler/ShardingJobHandler.java;20;20;789;4;8;2;65.52;2.5;2;5;3;2;4;0;1;2;2;13;23;7;20;0
ShardingJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWv;xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/jobhandler/ShardingJobHandler.java;20;20;789;5;7;1;100;1;2;5;3;2;4;0;1;2;2;4;23;7;20;0
XxlJobAdminConfig.java;xxl-job;AW-Z3VGbrInABnR0cIYE;xxl-job-admin/src/main/java/com/xxl/job/admin/core/conf/XxlJobAdminConfig.java;20;45;1915.8;17;9;5;90.62;2;7;12;19;1;2;88;16;1;15;29;0;9;102;0
XxlJobInfo.java;xxl-job;AW-Z3VGbrInABnR0cIX_;xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobInfo.java;20;15;3537.3;24;11;3;49.57;2.5;2;0;44;1;0;902;44;0;22;21;0;5;158;0
XxlJobLogGlue.java;xxl-job;AW-Z3VGbrInABnR0cIX8;xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobLogGlue.java;20;0;1018.5;7;11;2;91.19;3;0;0;14;1;0;77;14;0;7;31;0;4;53;0
XxlJobRegistry.java;xxl-job;AW-Z3VGbrInABnR0cIX-;xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobRegistry.java;20;0;756.6;1;55;1;100;1;0;0;10;1;0;35;10;0;5;0;0;3;39;0
LoginService.java;xxl-job;AW-Z3VGYrInABnR0cIXG;xxl-job-admin/src/main/java/com/xxl/job/admin/service/LoginService.java;15;47.5;793.8;1;107;1;100;1;0;10;17;1;19;4;5;4;12;4;0;18;72;0
ScriptJobHandler.java;xxl-job;AW-Z3VGcrInABnR0cIYd;xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/ScriptJobHandler.java;12;37.5;611.1;16;6;3;57.14;1.5;5;8;11;2;20;0;3;4;13;4;0;9;65;0
IndexController.java;xxl-job;AW-Z3VGbrInABnR0cIYO;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/IndexController.java;7;10;1092.9;26;4;2;81.6;2;1;13;11;1;11;13;7;1;6;38;0;7;69;0
ExecutorRouteStrategyEnum.java;xxl-job;AW-Z3VGarInABnR0cIXk;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/ExecutorRouteStrategyEnum.java;5;10;407.4;8;6;2;60.71;1;1;12;7;1;4;2;4;3;2;2;0;3;37;0
JobApiController.java;xxl-job;AW-Z3VGbrInABnR0cIYI;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobApiController.java;5;0;1080;21;6;3;69.92;3;8;14;11;1;13;4;5;2;5;81;0;39;68;0
